Timestamp,How much do you like Fontys so far?,What is your main study profile?,What aspect of Data Visualization is most interesting to you?,How much effort do you intend to invest into this subject? ,Your age (in years),Your height (in cm),Your starsign,Your continent,How many cousins do you have?,,Do you like spicy food?
9/1/2017 12:19:47,,Software Engineering,(web) programming,10,21,420.69,Leo,Europe,7,Option 1,No
9/1/2017 12:22:32,,Software Engineering,exploring/analysing,8,19,178,Cancer,Europe,0,Option 1,neutral
9/1/2017 12:23:13,,Technology,designing and storytelling,7,20,182,Scorpio,Europe,12,Option 1,neutral
9/1/2017 12:23:21,,Software Engineering,(web) programming,8,21,197,Cancer,Europe,19,Option 1,neutral
9/1/2017 12:26:08,,Mathematics,designing and storytelling,8,23,183,Aquarius,Europe,27,,Yes
9/1/2017 12:37:13,,Technology,exploring/analysing,10,23,180,Virgo,Europe,0,,neutral
9/1/2017 12:38:13,,Software Engineering,exploring/analysing,9,21,195,Gemini,Europe,6,Option 1,Yes
9/1/2017 12:38:13,,Software Engineering,(web) programming,8,20,183,Taurus,Europe,9,,Yes
9/1/2017 12:39:52,,Bussiness,exploring/analysing,10,26,191,Aries,Europe,8,Option 1,Yes
9/1/2017 12:54:17,,Technology,exploring/analysing,10,20,180,Pisces,Europe,14,,Yes
9/1/2017 12:56:35,,Software Engineering,(web) programming,6,24,178,Scorpio,Europe,4,Option 1,Yes
9/1/2017 12:56:51,,Software Engineering,(web) programming,8,28,160,i have no idea,Asia,20,,neutral
9/1/2017 13:12:43,,Software Engineering,(web) programming,7,25,182,Scorpio,Europe,5,,neutral
9/1/2017 13:13:49,,Software Engineering,exploring/analysing,10,24,181,Libra,Europe,3,,Yes
9/1/2017 13:15:54,,Software Engineering,(web) programming,10,26,167,Scorpio,South-America,10,Option 1,neutral
9/1/2017 13:44:58,,Software Engineering,exploring/analysing,7,24,181,i have no idea,Europe,1,,Yes
9/1/2017 14:00:02,,Software Engineering,exploring/analysing,9,21,179,i have no idea,Europe,8,Option 1,neutral
9/1/2017 18:48:32,,Software Engineering,(web) programming,8,22,1.75,Sagittarius,South-America,don't know,,No
9/2/2017 15:26:57,,Technology,designing and storytelling,8,22,178,Leo,Europe,9,,Yes
9/4/2017 9:45:58,,Bussiness,exploring/analysing,9,20,187,Libra,Europe,2,,No
9/4/2017 9:48:11,,Software Engineering,exploring/analysing,6,24,178,Leo,Europe,6,,neutral
9/4/2017 9:48:46,,Software Engineering,designing and storytelling,8,22,185,i have no idea,Europe,99999999999999999999999999999999999999999999999999999999999999999999999999999999999,,Yes
9/4/2017 9:50:39,,Software Engineering,(web) programming,9,24,179,Capricorn,Europe,12,,Yes
9/4/2017 9:51:38,,Technology,exploring/analysing,8,22,180,Taurus,Europe,3,,Yes
9/4/2017 10:10:52,,Software Engineering,(web) programming,8,23,173,i have no idea,Europe,6,,Yes
9/4/2017 10:44:43,,Software Engineering,exploring/analysing,8,22,176,Virgo,Europe,18,,Yes
9/4/2017 10:47:45,,Media,designing and storytelling,8,22,188,Gemini,Europe,11,,Yes
9/5/2017 8:50:24,,Software Engineering,exploring/analysing,8,23,178,Aquarius,Europe,13,,Yes
9/5/2017 9:46:59,,Software Engineering,exploring/analysing,8,20,170,i have no idea,Europe,11,,Yes
9/5/2017 10:31:20,,Software Engineering,exploring/analysing,8,22,185,i have no idea,Europe,3,,neutral
9/6/2017 7:23:42,,Software Engineering,(web) programming,10,28,206,Taurus,Europe,8,,Yes
9/7/2017 10:13:33,,Software Engineering,designing and storytelling,10,27,173,Aries,Europe,1,,neutral
9/7/2017 10:25:03,,Mathematics,(web) programming,8,25,179,Scorpio,Europe,8,,Yes
9/7/2017 10:31:13,,Software Engineering,(web) programming,10,21,178,i have no idea,Europe,11,,Yes
9/7/2017 10:42:25,,Software Engineering,exploring/analysing,8,22,180,Capricorn,Europe,23,,neutral
9/7/2017 10:44:31,,Software Engineering,(web) programming,9,20,190,Scorpio,Europe,1,,neutral
9/7/2017 10:44:39,,Mathematics,exploring/analysing,10,28,183,Aquarius,Europe,6,,Yes
9/7/2017 10:45:26,,Software Engineering,exploring/analysing,8,24,173,Libra,Europe,10,,Yes
9/7/2017 10:45:39,,Software Engineering,(web) programming,10,21,193,Sagittarius,Europe,6,,Yes
9/7/2017 10:46:17,,Software Engineering,(web) programming,10,25,190,Virgo,Europe,3,,Yes
9/7/2017 10:47:06,,Software Engineering,exploring/analysing,8,27,182,Leo,Europe,6,,neutral
9/7/2017 10:48:01,,Software Engineering,exploring/analysing,8,27,175,Taurus,Europe,11,,Yes
9/7/2017 10:48:32,,Software Engineering,designing and storytelling,10,20,180,i have no idea,Europe,2,,Yes
9/9/2017 15:51:57,,Software Engineering,(web) programming,7,20,183,Leo,Europe,10,,neutral
9/16/2017 13:18:29,,Software Engineering,exploring/analysing,8,20,172,Aries,Europe,2,,neutral